Id,QuaternaryFaultDensity,HorizGravityGradient2,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient2,Heatflow,DEM-30m,X_83UTM11,Y_83UTM11,TrainCodeNeg,TrainCodePos,TrainCodePosT130,TrainCodePosT37,NAME,MAX_MAXT,Blind,POWER,E_utm83,N_utm83,Depth(m)
124,-0.823529897,0.717904163,-1.030112766,-0.196457227,-0.114891478,1.106227597,-0.417394678,-1.032968782,-1.309137972,0.128465293,637077.6902,4408463.766,1,12,12,12,Long Valley No. 35-88,-30.50624763,,,637117.8897,4408490.697,2155.240731
126,-0.569428575,2.781721682,-1.088614344,0.25727693,0.349022963,0.873164,-0.325640324,-0.795963703,-0.891104771,0.159415922,643077.6902,4409713.766,1,12,12,12,Tommy Knocker Unit No. T61X-33G,-49.52449392,,,643041.8934,4409700.709,3546.652687
104,-1.134224057,0.219336093,-1.565201904,2.211996083,1.267337247,0.865214695,-0.52183902,-0.466217506,0.150755164,-0.10624365,591327.6902,4411713.766,1,12,12,12,Diamond Valley Unit No. 1,-33.86162556,,,591241.3795,4411715.686,2450.591922
86,-0.373884629,-0.015820563,0.910499078,-0.620147168,1.5653554,-1.322751438,0.250526887,-0.703222585,0.102913997,-1.635720607,390327.6902,4418463.766,1,12,12,12,Standard-Amoco-S.P. Land Co. No. 1,-32.26225917,,,390365.5579,4418542.447,3352.799893
83,1.327000187,1.701234001,0.434430662,-0.703576688,-0.547016831,0.059230352,-0.071265956,0.193274889,1.286356412,-1.150827407,322077.6902,4420463.766,1,12,12,12,Fireball Ridge,0,,,322126,4420510,0
103,-1.193790699,1.316712414,-1.978423191,0.322176377,-0.198202914,1.002747416,-0.966195732,0.131447477,0.393731125,-0.147511157,589077.6902,4422963.766,1,12,12,12,Diamond Valley Federal No. 1-24,-12.49662662,,,589036.3673,4423077.862,2707.843113
106,-0.459991892,2.033420069,-1.904630499,0.797678384,0.932638819,0.938999837,-0.966195732,-0.157080446,0.740056526,-0.111402088,595577.6902,4423213.766,1,12,12,12,Diamond Federal 11-22,-56.03006861,,,595463.4223,4423260.904,2260.091928
141,-1.135596829,-0.838098273,-1.319329729,0.343494698,-0.551156981,1.081252023,-1.352376945,-0.486826643,0.081101746,-0.072713801,691327.6902,4423963.766,1,12,12,12,Steptoe Federal No. 17-14,-5.055115444,,,691235.909,4423913.661,3568.903086
93,-0.505081228,-0.944952636,-1.375399505,-0.311639127,-0.772303931,0.341354108,-1.796738879,-0.58987233,-1.556704554,-0.162986472,564577.6902,4432213.766,1,12,12,12,Jackpot Federal No. 1,-37.85297771,,,564571.2491,4432200.858,2507.58952
136,-0.847646618,-0.221502368,-1.867938361,-0.457561462,-0.966261718,1.179762148,-0.966195732,0.842462715,0.376188479,0.244530154,671077.6902,4436713.766,1,12,12,12,Federal No. 1-5,-61.97112316,,,671194.9458,4436797.862,3208.629497
